#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image
051,1479172462.852021,3.4,23.44,20486470393.561905,3.4000000000000004,23.44,d3ffa40a-3af2-4540-92d5-c686507e4145
052,1479172534.2911441,3.4,22.44,20485229207.428574,3.4000000000000004,22.44,284bf92c-e477-403b-bba7-6f5e9806d307
053,1479172605.641711,3.4,21.44,20486235772.04106,3.4000000000000004,21.44,4e1e7d92-a8ed-46cf-a018-33a6e678f86d
054,1479172677.0189211,3.4,20.44,20486194644.55429,3.4000000000000004,20.44,10cf1960-d437-4770-bab7-bf3fd2d153f6
055,1479172748.4532216,3.4,19.44,20486990281.321243,3.4000000000000004,19.44,be795ed3-f7c7-4e0a-bb05-c05428f8fac7
056,1479172820.0632834,3.4,18.44,20487806430.810547,3.4000000000000004,18.44,7b49938c-1d06-448d-9202-8b4833536587
057,1479172883.2263625,2.4,18.44,20486230598.891068,2.4000000000000004,18.44,0740df1e-6f7d-4cee-a11c-9dd880107c7c
058,1479172954.5941193,2.4,19.44,20486464115.898987,2.4000000000000004,19.44,2e163f94-59dd-4e03-b139-9c7f9badd8e8
059,1479173025.9155765,2.4,20.44,20486147011.9646,2.4000000000000004,20.44,265b09d9-a9b7-4eff-83a4-547064338284
060,1479173097.003135,2.4,21.44,20486529232.01857,2.4000000000000004,21.44,94b6dfa4-3e52-4560-9b58-d10c488631c5
061,1479173168.4731066,2.4,22.44,20486650257.07831,2.4000000000000004,22.44,f5cacbf9-ede3-4cb9-bb63-aafe716022b5
062,1479173240.1404653,2.4,23.44,20487280707.911728,2.4000000000000004,23.44,749545ca-4af8-4e86-9e5a-deb0bcabd8b1
063,1479173311.658785,2.4,24.44,20485866537.779663,2.4000000000000004,24.44,efd4e41b-2c34-49f5-b74a-a9e25d7ac905
064,1479173383.0206516,2.4,25.44,20485696427.265305,2.4000000000000004,25.44,c990204c-8571-4f76-947e-c89ed14f1092
065,1479173446.3930244,1.4000000000000001,25.44,20486617604.19098,1.4000000000000004,25.44,84d805e9-d658-4420-9ea3-d26f13d0123e
