#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image
1,2017-01-21 05:18:58.279376000,4.399,30.900000000000002,20759564681.600403,4.4,30.9,f6a35eaf-b32a-44f8-9e50-18e13c2851fd
2,2017-01-21 05:20:04.710777000,4.993,30.900000000000002,20759570074.43451,4.992307692307692,30.9,3ac8a37c-ea0b-4773-a9e9-5d5b0af42e3d
3,2017-01-21 05:21:10.045096000,5.585,30.900000000000002,20759671207.376404,5.584615384615384,30.9,9fd14194-007c-43e0-b15c-6fe5738d668c
4,2017-01-21 05:22:15.555684000,6.1770000000000005,30.900000000000002,20759611963.638733,6.176923076923077,30.9,4dd0c93a-18f8-4820-9a09-b2df822142f0
5,2017-01-21 05:23:21.084780000,6.7700000000000005,30.900000000000002,20759802880.948914,6.769230769230769,30.9,18790149-d40b-4e32-bfbf-d43cafea867c
6,2017-01-21 05:24:27.099930000,7.362,30.900000000000002,20759686622.900696,7.361538461538461,30.9,6f02d78a-d3e8-4094-bef7-4a9109f25710
7,2017-01-21 05:25:32.817173000,7.954,30.900000000000002,20759825553.221375,7.953846153846154,30.9,2812746f-8efc-4765-96ed-090785669055
8,2017-01-21 05:26:38.321074000,8.546,30.900000000000002,20759780328.630005,8.546153846153846,30.9,49f4fadc-6f84-4d30-b364-229fcf0a8451
9,2017-01-21 05:27:43.720491000,9.139,30.900000000000002,20759775844.99048,9.138461538461538,30.9,7d6d0c49-9f5a-4a30-9064-3be053da6557
10,2017-01-21 05:28:49.037867000,9.731,30.900000000000002,20759693590.027588,9.73076923076923,30.9,18769e2c-66b8-4b71-b3cf-670b29ba7952
11,2017-01-21 05:29:54.688959000,10.323,30.900000000000002,20759823400.732178,10.323076923076922,30.9,04448b55-cca2-4904-b184-706a73a6869f
12,2017-01-21 05:31:00.948699000,10.916,30.900000000000002,20759924591.053528,10.915384615384614,30.9,eb860c68-e2a5-4455-bfd1-d9ce8f3ffe78
13,2017-01-21 05:32:06.622717000,11.508000000000001,30.900000000000002,20759854365.983154,11.507692307692306,30.9,fcbe3a33-7b3c-412a-bbfb-3220ec974365
14,2017-01-21 05:33:12.485409000,12.1,30.900000000000002,20759985516.127136,12.1,30.9,2af48b43-8e8a-4bef-96ed-7709700577a5
15,2017-01-21 05:34:22.825988000,12.1,31.493000000000002,20764370589.082703,12.1,31.49230769230769,7aaada04-bc2a-48a3-bb12-851608be43fc
16,2017-01-21 05:35:28.999704000,11.507,31.493000000000002,20766028434.26416,11.507692307692306,31.49230769230769,7b9cb9ee-19dc-427e-8b38-56ac207374c3
17,2017-01-21 05:36:34.521941000,10.915000000000001,31.493000000000002,20809822623.078613,10.915384615384614,31.49230769230769,c5e9e245-d7ef-4479-94c9-e1e5e19be0ba
18,2017-01-21 05:37:40.203782000,10.323,31.493000000000002,20855666291.39044,10.323076923076922,31.49230769230769,7dad662d-ea6c-42c3-b159-2d3cf7671b2a
19,2017-01-21 05:38:45.513565999,9.73,31.493000000000002,20856513858.497375,9.73076923076923,31.49230769230769,40c5b277-0c4c-48dd-bc26-f3f5520da00c
20,2017-01-21 05:39:50.968663000,9.138,31.493000000000002,20850690079.642334,9.138461538461538,31.49230769230769,4b4a8601-df55-4070-9663-a8603d4fb7fb
21,2017-01-21 05:40:56.543267000,8.546,31.493000000000002,20846722321.882446,8.546153846153846,31.49230769230769,a44718db-c5c4-4351-917d-f83fc0522112
22,2017-01-21 05:42:02.128735999,7.953,31.492,20846429379.937866,7.953846153846154,31.49230769230769,35b98895-dd7b-4d2d-9322-c3964dd612a6
23,2017-01-21 05:43:07.627544000,7.361,31.492,20843828364.5979,7.361538461538461,31.49230769230769,07b7bb08-47bc-4796-9495-54d826defb17
24,2017-01-21 05:44:13.366105000,6.769,31.492,20843768837.594482,6.769230769230769,31.49230769230769,7def6f87-8ec7-4ae4-af9d-c74766ad8767
25,2017-01-21 05:45:28.435930000,6.176,31.492,20834710973.7536,6.176923076923077,31.49230769230769,f9ebe522-9b52-4167-8a7f-62d325c5a29b
26,2017-01-21 05:46:34.017676000,5.5840000000000005,31.492,20787367482.228516,5.584615384615384,31.49230769230769,410a640e-fb40-41f4-9f8a-8381eb6fdf9d
27,2017-01-21 05:47:39.505084000,4.992,31.492,20765232531.262207,4.992307692307692,31.49230769230769,16b24f9c-05fd-4ecf-b564-71f0024e632f
28,2017-01-21 05:48:45.064612000,4.4,31.492,20764928225.4151,4.4,31.49230769230769,9915b493-4255-4735-891a-a117b00be4c0
29,2017-01-21 05:49:55.009911000,4.4,32.084,20764834691.719727,4.4,32.08461538461538,b54c5af6-d936-4268-bc2a-77c320672539
30,2017-01-21 05:51:00.390826000,4.993,32.084,20788757867.087097,4.992307692307692,32.08461538461538,cedcbec9-aa34-4733-9bfe-13cf7f592d3f
31,2017-01-21 05:52:05.944597000,5.585,32.084,20885689328.037964,5.584615384615384,32.08461538461538,0d108103-23f2-4f4f-a0ee-a5e619366b5f
32,2017-01-21 05:53:11.760646000,6.1770000000000005,32.084,20903817645.32019,6.176923076923077,32.08461538461538,5ca9145a-8745-4a32-a5de-5e2b84287213
33,2017-01-21 05:54:17.378401000,6.7700000000000005,32.084,20905839341.733948,6.769230769230769,32.08461538461538,78e3562e-5862-49ec-a9e1-4bbf515357a6
34,2017-01-21 05:55:22.947542000,7.362,32.084,20906200110.093567,7.361538461538461,32.08461538461538,a70b33f7-d4d3-4d57-b4ea-3a856d60a58a
35,2017-01-21 05:56:28.394598000,7.954,32.084,20907993586.7547,7.953846153846154,32.08461538461538,79fa06e7-41f4-42a3-91ab-80090b9e6ea0
36,2017-01-21 05:57:34.235413000,8.546,32.084,20908859620.609863,8.546153846153846,32.08461538461538,7027ef6e-4ff1-4e99-9c01-d7ce56b899ae
37,2017-01-21 05:58:39.351064000,9.139,32.084,20907576442.022522,9.138461538461538,32.08461538461538,b31b50be-96a0-4f1b-b732-d72d5bf0de81
38,2017-01-21 05:59:44.857744000,9.731,32.084,20911504386.59088,9.73076923076923,32.08461538461538,682133f9-5ea6-40c9-a079-771041448e0b
39,2017-01-21 06:00:50.774209000,10.323,32.084,20912011299.520874,10.323076923076922,32.08461538461538,f1fe8cf6-70b3-4097-893b-1f1db36aae30
40,2017-01-21 06:01:55.948411000,10.916,32.085,20901189038.058044,10.915384615384614,32.08461538461538,0e0511c0-ddb8-458c-b54f-3b78959bf0de
41,2017-01-21 06:03:01.407052000,11.508000000000001,32.085,20812617771.499695,11.507692307692306,32.08461538461538,e4f33548-3cc6-46a8-a60e-8065fbde37f7
42,2017-01-21 06:04:07.019505000,12.1,32.085,20765530247.624084,12.1,32.08461538461538,9f478448-67a8-40b8-9b4e-2cb947ef1719
43,2017-01-21 06:05:17.335873000,12.1,32.677,20765048037.971436,12.1,32.676923076923075,a34e0049-7894-4545-9eb3-5a7135d3af46
44,2017-01-21 06:06:23.171607000,11.507,32.677,20839279350.41046,11.507692307692306,32.676923076923075,4f4f9184-7494-496d-b710-3ee85cf2ddfd
45,2017-01-21 06:07:28.829575000,10.915000000000001,32.677,20908934986.133484,10.915384615384614,32.676923076923075,ab437f4a-fb7e-48da-8bcd-534c3a22f19a
46,2017-01-21 06:08:34.740999000,10.323,32.677,20910055647.408997,10.323076923076922,32.676923076923075,3d37a9b0-4652-4386-ba13-709295ebb32e
47,2017-01-21 06:09:40.453460000,9.73,32.677,20909660568.355225,9.73076923076923,32.676923076923075,9060fc6c-c4fd-4748-89e9-7ca84416124e
48,2017-01-21 06:10:53.012860000,9.138,32.676,20907363116.387512,9.138461538461538,32.676923076923075,efa514c8-163d-4dcd-a3f3-fd8bb3ddd6e8
49,2017-01-21 06:12:13.760555000,8.546,32.676,20907878746.199768,8.546153846153846,32.676923076923075,b801f90c-bb0f-40cb-b328-60dd08d58c75
50,2017-01-21 06:13:34.455164000,7.953,32.676,20908832474.978394,7.953846153846154,32.676923076923075,444c7ac6-5185-4242-b76c-fedcaf300ab4
51,2017-01-21 06:14:55.242705000,7.361,32.676,20906483459.56598,7.361538461538461,32.676923076923075,a05f6731-4298-4d2d-8de1-353ae7f175e8
52,2017-01-21 06:16:15.858619000,6.769,32.676,20906053895.578735,6.769230769230769,32.676923076923075,ee84c174-890b-4a42-a1dd-ee016f61eaad
53,2017-01-21 06:17:36.951168000,6.176,32.676,20905141021.83618,6.176923076923077,32.676923076923075,17cb2b05-add8-4ec8-96d3-b2ddce9bae9d
54,2017-01-21 06:18:52.113148000,5.5840000000000005,32.676,20903588927.728516,5.584615384615384,32.676923076923075,4d504b83-a2f8-4f2b-936e-5e7c5bef2f9a
55,2017-01-21 06:19:57.766871000,4.992,32.676,20822279698.480225,4.992307692307692,32.676923076923075,d33134ee-9f58-49b4-beb8-55bfdb4c0819
56,2017-01-21 06:21:02.920329000,4.4,32.676,20766145308.548584,4.4,32.676923076923075,49dffb82-738e-44c2-b967-44caa59b3dea
57,2017-01-21 06:22:13.610428000,4.4,33.269,20765608784.682495,4.4,33.26923076923077,8860caff-6f67-4ce8-a38f-9c2d2766e5f1
58,2017-01-21 06:23:19.039574000,4.993,33.269,20823904976.041138,4.992307692307692,33.26923076923077,11035248-7377-44b0-a7f7-e1601afee210
59,2017-01-21 06:24:24.568354000,5.585,33.269,20901076269.22754,5.584615384615384,33.26923076923077,17c3913c-cc60-45f9-a716-08daa15de4e2
60,2017-01-21 06:25:29.981767000,6.1770000000000005,33.269,20901614257.98242,6.176923076923077,33.26923076923077,2ec5dc75-c018-481f-ab96-c9e429e9cfba
61,2017-01-21 06:26:36.072663000,6.7700000000000005,33.269,20902938164.578552,6.769230769230769,33.26923076923077,a9b955ea-9849-482e-a5c5-5a7994750c93
62,2017-01-21 06:27:41.325083000,7.362,33.269,20904249516.57318,7.361538461538461,33.26923076923077,d466989c-c12d-4b39-ae6d-ca352049168b
63,2017-01-21 06:28:46.935308000,7.954,33.269,20906280042.117615,7.953846153846154,33.26923076923077,702e414e-ed91-4f99-a3a3-737a475ee155
64,2017-01-21 06:29:52.519651000,8.546,33.269,20905289908.273315,8.546153846153846,33.26923076923077,f6cef3ea-da50-4bf0-9a3b-ca9a2fa1990c
65,2017-01-21 06:30:58.486738000,9.139,33.269,20906993478.387573,9.138461538461538,33.26923076923077,0f8d248b-12d2-4f41-a441-27425348337d
66,2017-01-21 06:32:04.313028000,9.731,33.269,20909821275.02649,9.73076923076923,33.26923076923077,8a84a51d-6cbb-44b9-aa13-cd1fca824616
67,2017-01-21 06:33:11.482237000,10.323,33.269,20909444441.948975,10.323076923076922,33.26923076923077,509754b9-d12c-430e-a9b7-699811af544e
68,2017-01-21 06:34:17.410985000,10.916,33.269,20908443075.16205,10.915384615384614,33.26923076923077,d02e8ea6-f829-4f76-a8c5-bdd9d65e3ea2
69,2017-01-21 06:35:23.442303000,11.508000000000001,33.269,20839928831.973694,11.507692307692306,33.26923076923077,75e0af40-a3fe-4214-9a9c-cc016f94443a
70,2017-01-21 06:36:29.008288999,12.1,33.269,20766256378.265625,12.1,33.26923076923077,6cd3b2ac-8ac7-4f60-b5f0-e842b1713d5f
71,2017-01-21 06:37:39.094135000,12.1,33.861000000000004,20765568794.45923,12.1,33.86153846153846,022603a2-584a-4a4c-9024-944495dab896
72,2017-01-21 06:38:44.785597000,11.507,33.861000000000004,20845882457.724854,11.507692307692306,33.86153846153846,ee06b401-c8a6-4e89-894d-c0ef96f4852a
73,2017-01-21 06:39:50.358268000,10.915000000000001,33.861000000000004,20905115557.61322,10.915384615384614,33.86153846153846,450f765d-d0e2-4d1d-982c-80cc0b143264
74,2017-01-21 06:40:55.937328000,10.323,33.861000000000004,20907544070.835266,10.323076923076922,33.86153846153846,244c8338-ddbc-480c-a2b2-b40b84c8b5d8
75,2017-01-21 06:42:02.020738000,9.73,33.861000000000004,20907314997.976807,9.73076923076923,33.86153846153846,ac7add24-9bf9-4381-ad83-e0585b736955
76,2017-01-21 06:43:07.823672000,9.138,33.861000000000004,20905565345.299133,9.138461538461538,33.86153846153846,1b7ada05-9574-4b10-8e21-959845248cae
77,2017-01-21 06:44:13.608353000,8.546,33.861000000000004,20904697019.747986,8.546153846153846,33.86153846153846,9c7e5e66-20c8-4087-bcea-6ca3311f0ef1
78,2017-01-21 06:45:19.692915000,7.953,33.861000000000004,20906610862.99292,7.953846153846154,33.86153846153846,fcb78da6-d274-4a98-a046-84205777f41d
79,2017-01-21 06:46:25.615540000,7.361,33.861000000000004,20903766430.869507,7.361538461538461,33.86153846153846,b1b380b3-ab0e-47a8-a9b0-46896a8f1a38
80,2017-01-21 06:47:31.436370000,6.769,33.861000000000004,20902322507.300415,6.769230769230769,33.86153846153846,1d40aebc-0430-4887-be3c-dbf1540468c1
81,2017-01-21 06:48:36.530791000,6.176,33.861000000000004,20901324948.49774,6.176923076923077,33.86153846153846,2f532e71-e1c2-4611-a559-8104d11ad6b5
