,file_index,adp_1,adp_2,delta2,lattice constant,rw,scale,psize
0,0,9.658187441810616e-06,8.105006190594205e-06,27.627180741514746,4.261763398091797,0.8995841803519921,0.015228405684469629,34.331035678839264
1,1,-0.2147873504370094,0.21479431834584364,16.453264524597703,4.2479730278087136,0.9320151880930192,0.06718156613870095,26803.182347759852
2,2,0.015756030711271497,0.016003624857021517,8.411056636545803,4.0918845513988735,0.93025352784918,0.17197693266223915,30.59997441191733
3,3,-0.0004921120804705037,0.0005646692708046058,8.92729692429309,4.214940517236799,1.0133518899926262,0.03319122006405478,48.400964829209755
4,4,0.02132580478093849,0.0012555298483451311,2.712676853467459,4.081353544759066,0.9701305004919668,0.09071377289601347,377.2064615045998
5,5,-0.010157605470791154,0.010219873818562188,3.6183085237868733,4.075027857507345,0.975498191781866,0.08207904372049214,525.8780487781879
6,6,4.762684772799898e-06,0.02149601956328873,16.848896634935564,4.090156767256143,0.9591280043828556,0.119997080675727,40.41609694372065
7,7,0.00800000011920929,0.008,4.4700000885163815,4.051792897047221,1.0000000000000002,-0.028577029718770918,-310.99027432096887
8,8,0.005452067738921365,0.011961410935944508,16.901583867190887,4.091841776017858,0.969701360293366,0.09331825730117783,45.56915024900479
9,9,0.020834888774443585,0.02042443492976664,16.886791655582368,4.08983195451157,0.9638419345663771,0.13383298527048432,48.98286490588532
10,10,0.020792109934052474,0.015678433078554148,16.988092069321464,4.104383293594457,0.956710211895314,0.09256762662018267,35.33477425248472
11,11,0.014570793193980637,0.014471481911185387,16.87920183431548,4.088881306448496,0.941593335768525,0.08091797631086317,32.47253081110878
12,12,0.00010114444102354164,9.613120013472297e-05,7.904517971610613,4.2395062774145815,0.9429828276891068,0.04753019018396192,52.954723573274876
13,13,-0.001032441899354692,0.0010485910349505075,17.586098098789744,4.249171223928757,1.0000000000000004,0.08390735840684195,-2649907.4352921485
14,14,0.016301229359617052,0.01616382167808961,8.249328604511971,4.0553848927682985,0.9433696212297796,0.17358063468643253,62.83207500295757
15,15,0.04029332132985797,0.0040942777930012,8.346035992175468,4.077782453724786,0.916187845496688,0.11052659877136238,410.20105359465583
16,16,2.385030512268332e-09,7.465227940833675e-06,89.6345904951637,4.255152804128746,0.9565859037210036,0.02490168101694581,144.78404845455685
17,17,0.010594566244167587,0.005177687287724851,4.025089070275717,4.078896239921422,0.2334613454462349,0.5702979324072992,58.518442490558826
18,18,0.012110672798291505,0.005274851715385036,3.4037832817136544,4.076161701610992,0.1342532708937672,0.7136932858609757,152.17815878538462
19,19,0.003598202053984267,0.00844160577245658,3.9027269202102985,4.0748268096878215,0.2180151714606865,0.5796454021177475,101.91204647449965
20,20,2.169566046141095e-06,0.013104752430322822,6.8530840354540326,4.078097284443773,0.5786509364729326,0.4805829612452076,281.7273030513126
21,21,-1.2356962910786994e-05,1.3477958146891495e-05,12.198764993888858,4.239788155697031,0.912794156883458,0.09194264856737333,25.93559991508504
22,22,0.014327063894329996,0.014394416442858753,8.350450317517138,4.077192217838953,0.9618628894243348,0.2168673054690332,34.71676030715974
23,23,3.4390507076015476e-05,0.00714279997936729,8.384350417381128,4.095393179310043,0.9626243471114172,0.10508249716598106,872.9265441255943
24,24,4.983413171350035e-07,0.0043738328676424035,8.397943327213794,4.089185081991102,0.9559221734851768,0.16689914257995248,93.4952882892317
25,25,0.024013047299909523,0.003974678909312418,8.401147467450034,4.089682437760845,0.9456013947672062,0.09173856709925636,75.52888836594663
26,26,0.0017335179151127245,0.0025136467307593146,8.984246205805707,4.228083822203152,1.3118781635178838,0.038118723109751014,693505.2194746505
27,27,0.013725899296734527,0.005379720724298313,4.503408144694378,4.078256534859872,0.2464377290410772,0.3858297064010131,124.0385004527358
28,28,0.008609931863259217,0.006021858374767992,3.037967388873117,4.076103607688132,0.11498437045247112,0.5502347784077448,109.8848471015845
29,29,0.007887778897133541,0.007883419928587949,5.585094065867519,4.077391949293637,0.24495874473208115,0.3118030527034348,76.84062717011939
30,30,0.009827189465407506,0.0061709944134200855,5.435397914349519,4.0790883618552485,0.2019219473484719,0.3190898069418814,72.17776054642346
31,31,0.00800000011920929,0.008,4.4700000885163815,3.9862452106647415,1.0000000000000009,-0.06903743844754462,-498.50288278156455
32,32,0.00800000011920929,0.008,4.4700000885163815,4.2461048733793065,0.9999999999999996,-0.00253319139431047,-439.96958458263146
33,33,4.2737824791777757e-10,3.6696071882204415e-05,4.466279750076524,4.427104593833947,0.9783149023788714,0.05620853883488466,31.446325447136317
34,34,0.0019487406969180016,0.009958570514473892,4.600233451659945,4.077590515478734,0.17447896490949538,0.3395756136825615,81.32341658187092
35,35,0.00320634900257512,0.008892152249522804,3.701443564821431,4.076152680878292,0.09160982241985287,0.49399671380921706,80.0881184747525
36,36,0.00800000011920929,0.008,4.4700000885163815,3.9722434592884417,0.9999999999999996,-0.05051377399384865,-429.5809591966072
37,37,0.008587672128511787,0.008562820315216066,8.405413635076835,4.090933649405536,0.9416033319203689,0.12291179773806955,614.3161377251663
38,38,0.005811160767839962,0.005832471684005765,3.574594115534838,4.095502424555261,0.9296127407666844,0.05355282048281113,106.17513638522829
39,39,0.00800000011920929,0.008,4.4700000885163815,4.028388047371919,0.9999999999999992,-0.0584968211314201,-344.1083404964289
40,40,0.00800000011920929,0.008,4.4700000885163815,4.00603709364965,1.0000000000000009,-0.248296190829908,-754.0933536392731
41,41,0.015853333603554943,0.015853592681755718,8.351737150352454,4.077514844837777,0.9112639373648188,0.14381196747234495,32.940031108452395
