file_index,adp_1,adp_2,delta2,lattice constant,rw,scale,psize
0,9.658187441810616e-06,8.105006190594205e-06,27.627180741514742,4.261763398091797,0.899584180351992,0.015228405684469629,34.331035678839264
1,-0.2147873504370094,0.21479431834584364,16.453264524597703,4.247973027808714,0.9320151880930191,0.06718156613870095,26803.182347759855
2,0.015756030711271497,0.016003624857021517,8.411056636545803,4.091884551398873,0.9302535278491801,0.17197693266223915,30.59997441191733
3,-0.0004921120804705037,0.0005646692708046057,8.92729692429309,4.214940517236798,1.0133518899926262,0.03319122006405478,48.400964829209755
4,0.02132580478093849,0.001255529848345131,2.712676853467459,4.081353544759066,0.9701305004919667,0.09071377289601348,377.2064615045998
5,-0.010157605470791154,0.010219873818562188,3.618308523786873,4.075027857507345,0.9754981917818661,0.08207904372049214,525.8780487781879
6,4.7626847727998985e-06,0.021496019563288726,16.848896634935564,4.090156767256143,0.9591280043828557,0.11999708067572701,40.41609694372066
7,0.00800000011920929,0.008,4.4700000885163815,4.051792897047222,1.0000000000000002,-0.028577029718770915,-310.99027432096887
8,0.005452067738921365,0.011961410935944508,16.901583867190883,4.091841776017857,0.9697013602933661,0.09331825730117783,45.569150249004785
9,0.020834888774443585,0.02042443492976664,16.886791655582368,4.08983195451157,0.963841934566377,0.13383298527048432,48.98286490588533
10,0.020792109934052474,0.015678433078554148,16.988092069321464,4.104383293594457,0.9567102118953141,0.09256762662018267,35.33477425248472
11,0.014570793193980636,0.014471481911185387,16.87920183431548,4.088881306448495,0.941593335768525,0.08091797631086318,32.47253081110878
12,0.00010114444102354165,9.613120013472297e-05,7.9045179716106135,4.239506277414582,0.9429828276891067,0.047530190183961915,52.95472357327488
13,-0.0010324418993546921,0.0010485910349505075,17.586098098789744,4.249171223928757,1.0000000000000004,0.08390735840684195,-2649907.4352921485
14,0.016301229359617052,0.016163821678089607,8.249328604511971,4.055384892768298,0.9433696212297795,0.17358063468643253,62.83207500295757
15,0.040293321329857974,0.0040942777930012,8.346035992175468,4.077782453724786,0.9161878454966879,0.11052659877136238,410.2010535946558
16,2.385030512268332e-09,7.4652279408336755e-06,89.6345904951637,4.255152804128745,0.9565859037210035,0.024901681016945815,144.78404845455688
17,0.010594566244167589,0.005177687287724851,4.025089070275717,4.078896239921422,0.23346134544623487,0.5702979324072992,58.518442490558826
18,0.012110672798291505,0.005274851715385036,3.4037832817136544,4.076161701610992,0.1342532708937672,0.7136932858609757,152.17815878538465
19,0.003598202053984267,0.00844160577245658,3.9027269202102985,4.074826809687822,0.2180151714606865,0.5796454021177475,101.91204647449965
20,2.169566046141095e-06,0.013104752430322822,6.8530840354540326,4.078097284443773,0.5786509364729326,0.48058296124520755,281.7273030513126
21,-1.2356962910786996e-05,1.3477958146891495e-05,12.198764993888858,4.239788155697031,0.9127941568834579,0.09194264856737333,25.93559991508504
22,0.014327063894329995,0.014394416442858752,8.350450317517138,4.077192217838953,0.9618628894243347,0.21686730546903316,34.71676030715974
